"blockTimeRounded","days","playerIndex","parcelIndex","playerTotalFudTerms","playerChangeFudTerms","parcelTotalFudTerms","parcelChangeFudTerms","totalHarvesters","averageHarvesterLevel","totalReservoirs","averageReservoirLevel","totalAltars","averageAltarLevel","totalMakers","averageMakerLevel","destroyValueFudTerms","useCaseName"
12522,0.3,0,0,3644585,0,28472.25,0,,,,,,,,,0,"emptyParcelReservoirs"
12522,0.3,0,0,3644585,0,28472.25,0,,,,,1,1,,,0,"craftAndEquipAltar"
12522,0.3,0,0,3644095,-490,28472.25,0,,,1,1,1,1,,,0,"craftAndEquipFudReservoir"
12522,0.3,0,0,3643844.995609953,-250.0043900469318,28472.25,0,1,1,1,1,1,1,,,245,"craftAndEquipFudHarvester"
12522,0.3,0,0,3643324.995609953,-520,28472.25,0,1,1,2,1,1,1,,,370.00219502344294,"craftAndEquipFomoReservoir"
12522,0.3,0,0,3643054.1575207356,-270.83808921743184,28472.25,0,2,1,2,1,1,1,,,630.0021950234429,"craftAndEquipFomoHarvester"
12522,0.3,0,0,3642609.1575207356,-445,28472.25,0,2,1,3,1,1,1,,,765.4212396321726,"craftAndEquipAlphaReservoir"
12522,0.3,0,0,3642369.569980274,-239.58754046168178,28472.25,0,3,1,3,1,1,1,,,987.9212396321726,"craftAndEquipAlphaHarvester"
12522,0.3,0,0,3641824.569980274,-545,28472.25,0,3,1,4,1,1,1,,,1107.7150098629718,"craftAndEquipKekReservoir"
12522,0.3,0,0,3641532.898191886,-291.6717883879901,28472.25,0,4,1,4,1,1,1,,,1380.2150098629718,"craftAndEquipKekHarvester"
12522,0.3,0,0,3640532.898191886,-1000,28472.25,0,4,1,4,1,1,1,,,1526.0509040569884,"upgradeHighestLevelAltar"
12522,0.3,1,0,3644585,0,28472.25,0,,,,,,,,,0,"emptyParcelReservoirs"
12522,0.3,1,0,3644585,0,28472.25,0,,,,,1,1,,,0,"craftAndEquipAltar"
12522,0.3,1,0,3644095,-490,28472.25,0,,,1,1,1,1,,,0,"craftAndEquipFudReservoir"
12522,0.3,1,0,3643844.995609953,-250.0043900469318,28472.25,0,1,1,1,1,1,1,,,245,"craftAndEquipFudHarvester"
12522,0.3,1,0,3643324.995609953,-520,28472.25,0,1,1,2,1,1,1,,,370.00219502344294,"craftAndEquipFomoReservoir"
12522,0.3,1,0,3643054.1575207356,-270.83808921743184,28472.25,0,2,1,2,1,1,1,,,630.0021950234429,"craftAndEquipFomoHarvester"
12522,0.3,1,0,3642609.1575207356,-445,28472.25,0,2,1,3,1,1,1,,,765.4212396321726,"craftAndEquipAlphaReservoir"
12522,0.3,1,0,3642369.569980274,-239.58754046168178,28472.25,0,3,1,3,1,1,1,,,987.9212396321726,"craftAndEquipAlphaHarvester"
12522,0.3,1,0,3641824.569980274,-545,28472.25,0,3,1,4,1,1,1,,,1107.7150098629718,"craftAndEquipKekReservoir"
12522,0.3,1,0,3641532.898191886,-291.6717883879901,28472.25,0,4,1,4,1,1,1,,,1380.2150098629718,"craftAndEquipKekHarvester"
12522,0.3,1,0,3640532.898191886,-1000,28472.25,0,4,1,4,1,1,1,,,1526.0509040569884,"upgradeHighestLevelAltar"
12522,0.3,2,0,3644585,0,28472.25,0,,,,,,,,,0,"emptyParcelReservoirs"
12522,0.3,2,0,3644585,0,28472.25,0,,,,,1,1,,,0,"craftAndEquipAltar"
12522,0.3,2,0,3644095,-490,28472.25,0,,,1,1,1,1,,,0,"craftAndEquipFudReservoir"
12522,0.3,2,0,3643844.995609953,-250.0043900469318,28472.25,0,1,1,1,1,1,1,,,245,"craftAndEquipFudHarvester"
12522,0.3,2,0,3643324.995609953,-520,28472.25,0,1,1,2,1,1,1,,,370.00219502344294,"craftAndEquipFomoReservoir"
12522,0.3,2,0,3643054.1575207356,-270.83808921743184,28472.25,0,2,1,2,1,1,1,,,630.0021950234429,"craftAndEquipFomoHarvester"
12522,0.3,2,0,3642609.1575207356,-445,28472.25,0,2,1,3,1,1,1,,,765.4212396321726,"craftAndEquipAlphaReservoir"
